0.00 0.000 0.000 1.0002	1.00016 0.00049
1.52 0.004 0.088 0.9983	0.99831 0.00049
4.56 0.012 0.265 0.9957	0.99565 0.00049
7.60 0.021 0.442 0.9946	0.99463 0.00049
10.65 0.029 0.619 0.9945	0.99448 0.00049
13.69 0.037 0.795 0.9942	0.99421 0.00049
16.73 0.046 0.972 0.9949	0.99493 0.00049
19.77 0.054 1.149 0.9947	0.99468 0.00049
22.81 0.062 1.326 0.9955	0.99547 0.00049
25.85 0.071 1.502 0.9962	0.99621 0.00049
28.90 0.079 1.679 0.9956	0.99560 0.00049
31.94 0.087 1.856 0.9958	0.99584 0.00049
34.98 0.096 2.033 0.9963	0.99627 0.00049
38.02 0.104 2.209 0.9958	0.99584 0.00049
41.06 0.112 2.386 0.9957	0.99570 0.00049
44.10 0.121 2.563 0.9947	0.99465 0.00049
47.15 0.129 2.740 0.9951	0.99513 0.00049
50.19 0.137 2.916 0.9940	0.99398 0.00049
53.23 0.146 3.093 0.9939	0.99392 0.00049
56.27 0.154 3.270 0.9937	0.99369 0.00048
59.31 0.162 3.447 0.9920	0.99197 0.00049
62.35 0.171 3.623 0.9916	0.99163 0.00048
65.40 0.179 3.800 0.9918	0.99178 0.00049
68.44 0.187 3.977 0.9908	0.99076 0.00044
71.48 0.196 4.154 0.9890	0.98899 0.00049
74.52 0.204 4.330 0.9884	0.98836 0.00049
77.56 0.212 4.507 0.9864	0.98638 0.00049
80.60 0.221 4.684 0.9863	0.98633 0.00048
83.65 0.229 4.860 0.9856	0.98561 0.00048
86.69 0.237 5.037 0.9848	0.98481 0.00048
89.73 0.246 5.214 0.9836	0.98357 0.00049
92.77 0.254 5.391 0.9818	0.98177 0.00049
95.81 0.262 5.567 0.9809	0.98090 0.00049
98.85 0.271 5.744 0.9797	0.97973 0.00048
101.90 0.279 5.921 0.9786	0.97859 0.00044
104.94 0.287 6.098 0.9769	0.97693 0.00049
107.98 0.296 6.274 0.9755	0.97550 0.00048
111.02 0.304 6.451 0.9760	0.97595 0.00049
114.06 0.312 6.628 0.9736	0.97358 0.00049
117.10 0.321 6.805 0.9722	0.97217 0.00049
120.15 0.329 6.981 0.9723	0.97233 0.00048
123.19 0.337 7.158 0.9701	0.97014 0.00048
126.23 0.346 7.335 0.9684	0.96835 0.00049
129.27 0.354 7.512 0.9677	0.96767 0.00049
132.31 0.362 7.688 0.9655	0.96546 0.00049
135.35 0.371 7.865 0.9654	0.96538 0.00049
138.40 0.379 8.042 0.9638	0.96378 0.00049
141.44 0.387 8.219 0.9617	0.96173 0.00049
144.48 0.396 8.395 0.9610	0.96101 0.00049
147.52 0.404 8.572 0.9613	0.96130 0.00048
150.56 0.412 8.749 0.9581	0.95805 0.00049
153.60 0.421 8.926 0.9567	0.95667 0.00049
156.65 0.429 9.102 0.9563	0.95626 0.00049
159.69 0.437 9.279 0.9550	0.95499 0.00049
162.73 0.446 9.456 0.9530	0.95301 0.00049
165.77 0.454 9.633 0.9515	0.95145 0.00049
168.81 0.462 9.809 0.9502	0.95024 0.00045
171.85 0.471 9.986 0.9493	0.94930 0.00049
174.90 0.479 10.163 0.9484	0.94839 0.00046
177.94 0.487 10.340 0.9476	0.94758 0.00049
180.98 0.495 10.516 0.9457	0.94574 0.00049
184.02 0.504 10.693 0.9445	0.94453 0.00046
187.06 0.512 10.870 0.9434	0.94342 0.00049
190.10 0.520 11.047 0.9419	0.94192 0.00048
193.15 0.529 11.223 0.9410	0.94102 0.00049
196.19 0.537 11.400 0.9397	0.93970 0.00049
199.23 0.545 11.577 0.9387	0.93867 0.00049
202.27 0.554 11.754 0.9368	0.93677 0.00049
205.31 0.562 11.930 0.9353	0.93527 0.00049
208.35 0.570 12.107 0.9351	0.93508 0.00049
211.40 0.579 12.284 0.9328	0.93281 0.00048
214.44 0.587 12.461 0.9319	0.93190 0.00048
217.48 0.595 12.637 0.9310	0.93101 0.00049
220.52 0.604 12.814 0.9291	0.92907 0.00047
223.56 0.612 12.991 0.9280	0.92800 0.00049
226.60 0.620 13.167 0.9268	0.92681 0.00049
229.65 0.629 13.344 0.9249	0.92491 0.00049
232.69 0.637 13.521 0.9251	0.92511 0.00049
235.73 0.645 13.698 0.9235	0.92349 0.00049
238.77 0.654 13.874 0.9223	0.92229 0.00049
241.81 0.662 14.051 0.9208	0.92076 0.00049
244.85 0.670 14.228 0.9189	0.91890 0.00049
247.90 0.679 14.405 0.9172	0.91722 0.00049
250.94 0.687 14.581 0.9167	0.91669 0.00047
253.98 0.695 14.758 0.9157	0.91570 0.00049
257.02 0.704 14.935 0.9137	0.91371 0.00047
260.06 0.712 15.112 0.9132	0.91324 0.00049
263.10 0.720 15.288 0.9126	0.91260 0.00049
266.15 0.729 15.465 0.9104	0.91043 0.00049
269.19 0.737 15.642 0.9085	0.90847 0.00049
272.23 0.745 15.819 0.9079	0.90787 0.00049
275.27 0.754 15.995 0.9080	0.90804 0.00049
278.31 0.762 16.172 0.9067	0.90673 0.00049
281.35 0.770 16.349 0.9045	0.90447 0.00049
284.40 0.779 16.526 0.9048	0.90475 0.00049
287.44 0.787 16.702 0.9016	0.90163 0.00049
290.48 0.795 16.879 0.9011	0.90109 0.00049
293.52 0.804 17.056 0.9009	0.90085 0.00049
296.56 0.812 17.233 0.8995	0.89948 0.00049
299.60 0.820 17.409 0.8982	0.89818 0.00049
302.65 0.829 17.586 0.8963	0.89634 0.00049
305.69 0.837 17.763 0.8948	0.89484 0.00049
308.73 0.845 17.940 0.8943	0.89431 0.00047
311.77 0.854 18.116 0.8931	0.89305 0.00049
314.81 0.862 18.293 0.8919	0.89186 0.00049
317.85 0.870 18.470 0.8907	0.89067 0.00049
320.90 0.879 18.647 0.8895	0.88948 0.00046
323.94 0.887 18.823 0.8888	0.88884 0.00045
326.98 0.895 19.000 0.8870	0.88704 0.00049
330.02 0.904 19.177 0.8857	0.88568 0.00049
333.06 0.912 19.354 0.8853	0.88526 0.00049
336.10 0.920 19.530 0.8845	0.88447 0.00045
339.15 0.929 19.707 0.8837	0.88371 0.00049
342.19 0.937 19.884 0.8814	0.88144 0.00049
345.23 0.945 20.061 0.8813	0.88127 0.00049
348.27 0.954 20.237 0.8787	0.87873 0.00049
351.31 0.962 20.414 0.8789	0.87887 0.00049
354.35 0.970 20.591 0.8774	0.87741 0.00049
357.40 0.978 20.768 0.8766	0.87662 0.00048
360.44 0.987 20.944 0.8749	0.87494 0.00049
363.48 0.995 21.121 0.8732	0.87322 0.00049
