0.00 0.000 0.000 1.0004	1.00038 0.00049
1.52 0.004 0.088 0.9684	0.96841 0.00049
4.56 0.012 0.265 0.9650	0.96502 0.00049
7.60 0.021 0.442 0.9642	0.96421 0.00049
10.65 0.029 0.619 0.9640	0.96398 0.00049
13.69 0.037 0.795 0.9647	0.96468 0.00047
16.73 0.046 0.972 0.9644	0.96436 0.00049
19.77 0.054 1.149 0.9644	0.96436 0.00049
22.81 0.062 1.326 0.9654	0.96539 0.00049
25.85 0.071 1.502 0.9651	0.96514 0.00049
28.90 0.079 1.679 0.9657	0.96570 0.00045
31.94 0.087 1.856 0.9666	0.96655 0.00044
34.98 0.096 2.033 0.9651	0.96505 0.00049
38.02 0.104 2.209 0.9645	0.96445 0.00048
41.06 0.112 2.386 0.9648	0.96475 0.00049
44.10 0.121 2.563 0.9650	0.96496 0.00049
47.15 0.129 2.740 0.9643	0.96434 0.00047
50.19 0.137 2.916 0.9630	0.96297 0.00049
53.23 0.146 3.093 0.9633	0.96326 0.00049
56.27 0.154 3.270 0.9621	0.96205 0.00049
59.31 0.162 3.447 0.9620	0.96201 0.00048
62.35 0.171 3.623 0.9612	0.96119 0.00049
65.40 0.179 3.800 0.9597	0.95968 0.00049
68.44 0.187 3.977 0.9592	0.95924 0.00049
71.48 0.196 4.154 0.9576	0.95760 0.00049
74.52 0.204 4.330 0.9565	0.95650 0.00049
77.56 0.212 4.507 0.9557	0.95574 0.00048
80.60 0.221 4.684 0.9546	0.95455 0.00049
83.65 0.229 4.860 0.9542	0.95423 0.00049
86.69 0.237 5.037 0.9527	0.95274 0.00049
89.73 0.246 5.214 0.9514	0.95135 0.00049
92.77 0.254 5.391 0.9507	0.95072 0.00049
95.81 0.262 5.567 0.9493	0.94931 0.00049
98.85 0.271 5.744 0.9487	0.94871 0.00049
101.90 0.279 5.921 0.9470	0.94698 0.00049
104.94 0.287 6.098 0.9456	0.94562 0.00047
107.98 0.296 6.274 0.9450	0.94504 0.00049
111.02 0.304 6.451 0.9445	0.94447 0.00049
114.06 0.312 6.628 0.9427	0.94265 0.00049
117.10 0.321 6.805 0.9410	0.94102 0.00048
120.15 0.329 6.981 0.9394	0.93941 0.00049
123.19 0.337 7.158 0.9378	0.93775 0.00049
126.23 0.346 7.335 0.9373	0.93733 0.00049
129.27 0.354 7.512 0.9360	0.93601 0.00048
132.31 0.362 7.688 0.9348	0.93479 0.00048
135.35 0.371 7.865 0.9327	0.93269 0.00049
138.40 0.379 8.042 0.9329	0.93291 0.00049
