0.00 0.000 0.000 1.0018	1.00183 0.00019
15.21 0.042 0.460 0.9697	0.96969 0.00019
45.62 0.125 1.381 0.9724	0.97244 0.00018
76.04 0.208 2.301 0.9723	0.97230 0.00019
106.46 0.291 3.222 0.9691	0.96910 0.00019
136.88 0.375 4.142 0.9650	0.96497 0.00019
167.29 0.458 5.063 0.9599	0.95989 0.00019
197.71 0.541 5.983 0.9538	0.95376 0.00019
228.12 0.625 6.904 0.9476	0.94756 0.00019
258.54 0.708 7.824 0.9412	0.94124 0.00019
288.96 0.791 8.745 0.9346	0.93457 0.00019
319.38 0.874 9.665 0.9283	0.92829 0.00019
349.79 0.958 10.586 0.9216	0.92159 0.00017
