2.500   0.98223 0.00013    -1809.04 -0.24
2.510   0.98346 0.00012    -1681.40 -0.20
2.520   0.98459 0.00012    -1564.91 -0.19
2.530   0.98632 0.00012    -1387.08 -0.17
2.540   0.98734 0.00012    -1282.64 -0.15
2.550   0.98885 0.00012    -1127.78 -0.14
2.560   0.99026 0.00012    -983.17 -0.12
2.570   0.99154 0.00012    -853.12 -0.10
2.580   0.99257 0.00012    -748.16 -0.09
2.590   0.99414 0.00012    -588.95 -0.07
2.600   0.99520 0.00012    -482.42 -0.06
2.610   0.99666 0.00012    -334.92 -0.04
2.620   0.99780 0.00012    -220.18 -0.03
2.630   0.99913 0.00012    -87.28 -0.01
2.640   1.00044 0.00012    43.98 0.01
2.650   1.00175 0.00012    174.69 0.02
2.660   1.00291 0.00012    290.16 0.03
2.670   1.00451 0.00012    448.98 0.05
2.680   1.00547 0.00012    544.02 0.07
2.690   1.00679 0.00012    674.42 0.08
2.700   1.00802 0.00012    795.62 0.10
