0.00 0.000 0.000 1.0012	1.00122 0.00096
1.52 0.004 0.059 1.0009	1.00094 0.00099
4.57 0.012 0.178 0.9999	0.99992 0.00093
7.61 0.021 0.297 0.9964	0.99637 0.00097
10.65 0.029 0.415 0.9942	0.99419 0.00098
13.70 0.037 0.534 0.9946	0.99456 0.00099
16.74 0.046 0.652 0.9932	0.99318 0.00098
19.78 0.054 0.771 0.9906	0.99057 0.00098
22.83 0.062 0.890 0.9903	0.99027 0.00089
25.87 0.071 1.008 0.9885	0.98845 0.00098
28.91 0.079 1.127 0.9867	0.98672 0.00099
31.96 0.087 1.245 0.9871	0.98713 0.00099
35.00 0.096 1.364 0.9856	0.98558 0.00097
38.05 0.104 1.483 0.9838	0.98377 0.00098
41.09 0.112 1.601 0.9821	0.98207 0.00099
44.13 0.121 1.720 0.9806	0.98063 0.00092
47.18 0.129 1.838 0.9836	0.98359 0.00071
50.22 0.137 1.957 0.9803	0.98027 0.00090
53.26 0.146 2.076 0.9794	0.97941 0.00098
56.31 0.154 2.194 0.9776	0.97763 0.00097
59.35 0.162 2.313 0.9780	0.97795 0.00097
62.40 0.171 2.431 0.9775	0.97749 0.00086
65.44 0.179 2.550 0.9756	0.97564 0.00098
68.48 0.187 2.669 0.9750	0.97500 0.00099
71.53 0.196 2.787 0.9747	0.97469 0.00096
74.57 0.204 2.906 0.9726	0.97262 0.00091
77.61 0.212 3.024 0.9697	0.96973 0.00099
80.66 0.221 3.143 0.9670	0.96696 0.00099
83.70 0.229 3.262 0.9682	0.96818 0.00092
86.74 0.237 3.380 0.9695	0.96948 0.00098
89.79 0.246 3.499 0.9660	0.96596 0.00099
92.83 0.254 3.617 0.9638	0.96377 0.00090
95.88 0.262 3.736 0.9656	0.96558 0.00092
98.92 0.271 3.855 0.9612	0.96123 0.00096
101.96 0.279 3.973 0.9628	0.96276 0.00098
105.01 0.287 4.092 0.9612	0.96124 0.00093
108.05 0.296 4.211 0.9603	0.96031 0.00099
111.09 0.304 4.329 0.9585	0.95850 0.00099
114.14 0.312 4.448 0.9583	0.95833 0.00099
117.18 0.321 4.566 0.9546	0.95463 0.00098
120.22 0.329 4.685 0.9555	0.95546 0.00092
123.27 0.337 4.804 0.9530	0.95297 0.00098
126.31 0.346 4.922 0.9533	0.95328 0.00095
129.36 0.354 5.041 0.9509	0.95089 0.00099
132.40 0.362 5.159 0.9485	0.94846 0.00098
135.44 0.371 5.278 0.9487	0.94872 0.00097
138.49 0.379 5.397 0.9481	0.94810 0.00099
141.53 0.387 5.515 0.9471	0.94708 0.00098
144.57 0.396 5.634 0.9442	0.94417 0.00098
147.62 0.404 5.752 0.9450	0.94503 0.00099
150.66 0.412 5.871 0.9423	0.94226 0.00095
153.71 0.421 5.990 0.9426	0.94259 0.00095
156.75 0.429 6.108 0.9409	0.94085 0.00099
159.79 0.437 6.227 0.9393	0.93929 0.00099
162.84 0.446 6.345 0.9376	0.93762 0.00095
165.88 0.454 6.464 0.9379	0.93794 0.00099
168.92 0.462 6.583 0.9374	0.93739 0.00090
171.97 0.471 6.701 0.9332	0.93324 0.00099
175.01 0.479 6.820 0.9325	0.93250 0.00098
178.05 0.487 6.938 0.9316	0.93156 0.00098
181.10 0.496 7.057 0.9307	0.93066 0.00096
184.14 0.504 7.176 0.9280	0.92802 0.00091
187.19 0.512 7.294 0.9282	0.92815 0.00099
190.23 0.521 7.413 0.9254	0.92536 0.00098
193.27 0.529 7.532 0.9237	0.92374 0.00082
196.32 0.537 7.650 0.9258	0.92578 0.00098
199.36 0.546 7.769 0.9225	0.92245 0.00091
202.40 0.554 7.887 0.9207	0.92074 0.00099
205.45 0.562 8.006 0.9198	0.91983 0.00097
208.49 0.571 8.125 0.9194	0.91935 0.00089
211.53 0.579 8.243 0.9180	0.91796 0.00099
214.58 0.587 8.362 0.9155	0.91552 0.00098
217.62 0.596 8.480 0.9134	0.91336 0.00099
220.67 0.604 8.599 0.9153	0.91526 0.00099
223.71 0.612 8.718 0.9138	0.91376 0.00075
226.75 0.621 8.836 0.9100	0.91002 0.00098
229.80 0.629 8.955 0.9120	0.91204 0.00099
232.84 0.637 9.073 0.9098	0.90980 0.00098
235.88 0.646 9.192 0.9074	0.90738 0.00099
238.93 0.654 9.311 0.9074	0.90735 0.00097
241.97 0.662 9.429 0.9035	0.90354 0.00098
245.02 0.671 9.548 0.9041	0.90408 0.00097
248.06 0.679 9.666 0.9033	0.90334 0.00099
251.10 0.687 9.785 0.9020	0.90197 0.00095
254.15 0.696 9.904 0.9000	0.89997 0.00076
257.19 0.704 10.022 0.8993	0.89926 0.00097
260.23 0.712 10.141 0.8975	0.89746 0.00099
263.28 0.721 10.259 0.8945	0.89454 0.00099
266.32 0.729 10.378 0.8955	0.89546 0.00091
269.36 0.737 10.497 0.8954	0.89540 0.00092
272.41 0.746 10.615 0.8936	0.89360 0.00098
275.45 0.754 10.734 0.8910	0.89095 0.00090
278.50 0.762 10.852 0.8895	0.88950 0.00084
281.54 0.771 10.971 0.8894	0.88937 0.00099
284.58 0.779 11.090 0.8855	0.88549 0.00092
287.63 0.787 11.208 0.8867	0.88668 0.00099
290.67 0.796 11.327 0.8834	0.88335 0.00090
293.71 0.804 11.446 0.8850	0.88500 0.00099
296.76 0.812 11.564 0.8822	0.88223 0.00083
299.80 0.821 11.683 0.8798	0.87983 0.00096
302.84 0.829 11.801 0.8796	0.87962 0.00096
305.89 0.837 11.920 0.8793	0.87929 0.00082
308.93 0.846 12.039 0.8777	0.87765 0.00087
311.98 0.854 12.157 0.8764	0.87636 0.00098
315.02 0.862 12.276 0.8731	0.87313 0.00099
318.06 0.871 12.394 0.8726	0.87261 0.00096
321.11 0.879 12.513 0.8730	0.87303 0.00090
324.15 0.887 12.632 0.8694	0.86937 0.00089
327.19 0.896 12.750 0.8706	0.87056 0.00098
330.24 0.904 12.869 0.8674	0.86744 0.00088
333.28 0.912 12.987 0.8653	0.86532 0.00099
336.33 0.921 13.106 0.8641	0.86412 0.00074
339.37 0.929 13.225 0.8630	0.86300 0.00091
342.41 0.937 13.343 0.8618	0.86178 0.00097
345.46 0.946 13.462 0.8623	0.86226 0.00099
348.50 0.954 13.580 0.8608	0.86083 0.00098
351.54 0.962 13.699 0.8593	0.85930 0.00099
354.59 0.971 13.818 0.8566	0.85660 0.00075
357.63 0.979 13.936 0.8561	0.85614 0.00099
360.67 0.987 14.055 0.8551	0.85509 0.00098
363.72 0.996 14.173 0.8522	0.85218 0.00098
